City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
46,Osypenko,UA,2020-04-04 19:27:01,46.91,36.83,46.99,100,94,17.0,overcast clouds,0.0,0.0
47,Mendoza,AR,2020-04-04 19:22:16,-32.89,-68.83,77.0,33,18,4.7,few clouds,0.0,0.0
48,Ambagarh Chauki,IN,2020-04-04 19:27:03,20.78,80.72,82.02,42,55,3.49,light rain,0.005511811023622048,0.0
49,Bambous Virieux,MU,2020-04-04 19:27:03,-20.34,57.76,78.8,83,40,10.29,shower rain,0.0,0.0
50,Padang,ID,2020-04-04 19:26:00,-0.95,100.35,79.39,79,100,2.71,moderate rain,0.34330708661417325,0.0
51,Aksarka,RU,2020-04-04 19:27:04,66.56,67.8,35.6,86,88,18.59,overcast clouds,0.0,0.0
52,Kapaa,US,2020-04-04 19:27:05,22.08,-159.32,78.8,78,75,9.17,broken clouds,0.0,0.0
53,Puerto Escondido,MX,2020-04-04 19:27:06,15.85,-97.07,82.4,69,20,10.31,few clouds,0.0,0.0
54,Kahului,US,2020-04-04 19:27:06,20.89,-156.47,78.8,61,1,6.93,clear sky,0.0,0.0
55,Plettenberg Bay,ZA,2020-04-04 19:27:07,-34.05,23.37,69.94,61,21,6.98,few clouds,0.0,0.0
56,Goundam,ML,2020-04-04 19:27:07,16.41,-3.67,99.34,8,3,6.73,clear sky,0.0,0.0
57,Airai,TL,2020-04-04 19:27:08,-8.93,125.41,61.88,66,80,1.23,broken clouds,0.0,0.0
58,Krumbach,DE,2020-04-04 19:27:09,48.24,10.36,48.99,56,16,8.05,few clouds,0.0,0.0
59,Talnakh,RU,2020-04-04 19:25:28,69.49,88.4,32.0,97,75,29.08,shower snow,0.0,0.0
60,Kruisfontein,ZA,2020-04-04 19:27:10,-34.0,24.73,71.53,54,0,11.61,clear sky,0.0,0.0
61,Sydney,AU,2020-04-04 19:26:22,-33.87,151.21,57.99,62,0,8.05,clear sky,0.0,0.0
62,Agadir,MA,2020-04-04 19:26:21,30.42,-9.6,66.2,72,34,18.34,scattered clouds,0.0,0.0
63,Cidreira,BR,2020-04-04 19:27:11,-30.18,-50.21,73.15,58,23,10.98,few clouds,0.0,0.0
64,Vestmannaeyjar,IS,2020-04-04 19:27:12,63.44,-20.27,28.4,79,75,42.5,haze,0.0,0.0
65,Honiara,SB,2020-04-04 19:27:12,-9.43,159.95,77.0,83,40,6.93,scattered clouds,0.0,0.0
66,Mataura,NZ,2020-04-04 19:27:13,-46.19,168.86,50.0,85,64,1.99,broken clouds,0.0,0.0
67,Hay River,CA,2020-04-04 19:27:13,60.82,-115.8,-4.0,76,40,9.17,scattered clouds,0.0,0.0
